n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
10,1,1083300,412700,37801700,742400,38885000,1155100,10,22648461
10,2,6700,130300,1001900,671500,1008600,801800,10,22648462
10,3,4100,85300,913500,716300,917600,801600,10,22648463
10,4,3800,84600,810100,269900,813900,354500,10,22648464
10,5,3700,77800,714500,446000,718200,523800,10,22648465
10,6,3800,83900,645900,331200,649700,415100,10,22648466
10,7,3900,74300,601000,240200,604900,314500,10,22648467
10,8,4000,77100,553500,273000,557500,350100,10,22648468
10,9,3700,75000,435700,384300,439400,459300,10,22648469
10,10,3700,212700,387900,482300,391600,695000,10,22648470
10,11,7600,90200,395600,151300,403200,241500,10,22648471
10,12,3700,78600,306800,93700,310500,172300,10,22648472
10,13,4100,73500,269600,289300,273700,362800,10,22648473
10,14,3800,75600,278200,126800,282000,202400,10,22648474
10,15,3800,74100,276900,257200,280700,331300,10,22648475
10,16,4200,74400,279800,250800,284000,325200,10,22648476
10,17,3900,75800,266900,142800,270800,218600,10,22648477
10,18,3600,84800,277200,142800,280800,227600,10,22648478
10,19,3900,73900,251200,63000,255100,136900,10,22648479
10,20,3900,78800,247700,94700,251600,173500,10,22648480
10,21,8900,104500,375600,123900,384500,228400,10,22648481
10,22,5400,99800,334200,84000,339600,183800,10,22648482
10,23,5400,98100,359600,465100,365000,563200,10,22648483
10,24,6900,80700,286600,118000,293500,198700,10,22648484
10,25,7100,105300,440800,372500,447900,477800,10,22648485
10,26,11900,154300,583100,747100,595000,901400,10,22648486
10,27,6100,84300,505500,228800,511600,313100,10,22648487
10,28,5500,76000,251300,211300,256800,287300,10,22648488
10,29,8300,78800,344400,164200,352700,243000,10,22648489
10,30,10300,219300,928300,610800,938600,830100,10,22648490
10,31,8000,75800,285200,86400,293200,162200,10,22648491
10,32,3500,77200,268600,109300,272100,186500,10,22648492
10,33,5200,80100,250700,130700,255900,210800,10,22648493
10,34,4000,73500,244900,99200,248900,172700,10,22648494
10,35,3900,74900,256800,114600,260700,189500,10,22648495
10,36,3700,70400,260900,209900,264600,280300,10,22648496
10,37,4100,72200,263400,67300,267500,139500,10,22648497
10,38,3900,71200,259700,211300,263600,282500,10,22648498
10,39,3900,74100,251200,85600,255100,159700,10,22648499
10,40,11000,70700,256600,68300,267600,139000,10,22648500
10,41,13800,108700,409500,114200,423300,222900,10,22648501
10,42,5500,87600,324900,164700,330400,252300,10,22648502
10,43,4800,84500,662000,224700,666800,309200,10,22648503
10,44,4900,71000,234600,75300,239500,146300,10,22648504
10,45,3900,74500,240300,190000,244200,264500,10,22648505
10,46,3900,69600,263800,186900,267700,256500,10,22648506
10,47,3800,69900,282800,219000,286600,288900,10,22648507
