n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
40,1,15600,531200,11081900,2490700,11097500,3021900,200,52648551
40,2,16900,291100,10391000,1849000,10407900,2140100,200,52648552
40,3,8200,331000,11412100,1611200,11420300,1942200,200,52648553
40,4,12400,272400,9798200,2408100,9810600,2680500,200,52648554
40,5,3900,301300,10111200,2282700,10115100,2584000,200,52648555
40,6,3900,343600,9396000,2189000,9399900,2532600,200,52648556
40,7,4300,332800,9697200,1861000,9701500,2193800,200,52648557
40,8,3600,314000,9084900,1934700,9088500,2248700,200,52648558
40,9,4500,281900,10934600,1222700,10939100,1504600,200,52648559
40,10,8300,324200,11739100,2704400,11747400,3028600,200,52648560
40,11,12100,454800,12351600,2289100,12363700,2743900,200,52648561
40,12,5100,368800,9989600,3186900,9994700,3555700,200,52648562
40,13,8300,427700,9932500,1662800,9940800,2090500,200,52648563
40,14,7400,340400,8463800,2138600,8471200,2479000,200,52648564
40,15,7600,328400,8856600,2647900,8864200,2976300,200,52648565
40,16,10500,522800,8435000,2055500,8445500,2578300,200,52648566
40,17,5000,320200,8813500,1559500,8818500,1879700,200,52648567
40,18,48800,430200,8249900,1621200,8298700,2051400,200,52648568
40,19,4900,319600,7439700,1556500,7444600,1876100,200,52648569
40,20,4400,306200,8120600,2095100,8125000,2401300,200,52648570
40,21,4300,296600,7572600,1074700,7576900,1371300,200,52648571
40,22,4400,297200,6890500,1252200,6894900,1549400,200,52648572
40,23,3700,279000,6574100,1431800,6577800,1710800,200,52648573
40,24,3900,309700,6671500,1105500,6675400,1415200,200,52648574
40,25,3900,293700,7253200,847400,7257100,1141100,200,52648575
40,26,3700,301900,6897700,1418400,6901400,1720300,200,52648576
40,27,4100,283100,7063300,1099000,7067400,1382100,200,52648577
40,28,3500,217000,6714200,1827600,6717700,2044600,200,52648578
40,29,3700,212300,7380600,1055500,7384300,1267800,200,52648579
40,30,5100,209900,7423000,1272100,7428100,1482000,200,52648580
40,31,5400,220300,8231500,1080000,8236900,1300300,200,52648581
40,32,3700,210600,7072000,1397500,7075700,1608100,200,52648582
40,33,4500,212500,6921200,1068000,6925700,1280500,200,52648583
40,34,5000,209900,6963100,2177200,6968100,2387100,200,52648584
40,35,5200,213900,7690700,1201000,7695900,1414900,200,52648585
40,36,4200,226500,7414600,1749600,7418800,1976100,200,52648586
40,37,4300,223000,8147600,1381300,8151900,1604300,200,52648587
40,38,3800,211800,7160600,1153200,7164400,1365000,200,52648588
40,39,4200,208900,7453400,2341900,7457600,2550800,200,52648589
40,40,4600,215300,7553000,2159700,7557600,2375000,200,52648590
40,41,4900,223600,7695400,934800,7700300,1158400,200,52648591
40,42,4300,213800,7261700,1856100,7266000,2069900,200,52648592
40,43,3900,213100,6330200,1423100,6334100,1636200,200,52648593
40,44,4000,209800,7246600,1043400,7250600,1253200,200,52648594
40,45,3700,440000,7006600,1748400,7010300,2188400,200,52648595
40,46,3600,211200,7420500,1186300,7424100,1397500,200,52648596
40,47,3900,222700,6689200,1501800,6693100,1724500,200,52648597
40,48,3300,214600,6649800,1628500,6653100,1843100,200,52648598
40,49,3700,204600,6685000,1450300,6688700,1654900,200,52648599
40,50,3600,210900,6022900,1023900,6026500,1234800,200,52648600
40,51,6900,246600,6983500,1618500,6990400,1865100,200,52648601
40,52,3800,221800,7550700,991900,7554500,1213700,200,52648602
40,53,4100,212300,6887100,1009400,6891200,1221700,200,52648603
40,54,3400,204300,7481400,1595200,7484800,1799500,200,52648604
40,55,4000,210600,6797100,1322500,6801100,1533100,200,52648605
40,56,4600,216500,6581900,890300,6586500,1106800,200,52648606
40,57,3600,205600,6700200,2640800,6703800,2846400,200,52648607
40,58,5600,232000,7703600,1141300,7709200,1373300,200,52648608
40,59,6700,223000,8168400,1288000,8175100,1511000,200,52648609
40,60,14000,226100,8373800,1173000,8387800,1399100,200,52648610
40,61,4800,224600,7712000,690500,7716800,915100,200,52648611
40,62,4000,202100,6878900,1552100,6882900,1754200,200,52648612
40,63,4800,296900,6447800,1734100,6452600,2031000,200,52648613
