n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns
20,1,10700,842700,43608200,6279600,43618900,7122300
20,2,6100,184400,27380800,3302700,27386900,3487100
20,3,15800,198200,10549900,1935500,10565700,2133700
20,4,5000,190800,12446800,5000100,12451800,5190900
20,5,6000,175600,15988600,3860700,15994600,4036300
20,6,6000,148800,16640000,2937900,16646000,3086700
20,7,5700,155300,15913600,2353700,15919300,2509000
20,8,5300,140200,11543900,3073900,11549200,3214100
20,9,7600,149200,10200400,2354300,10208000,2503500
20,10,6300,146700,10727700,2358400,10734000,2505100
20,11,5500,191000,11953700,3382800,11959200,3573800
20,12,8500,204500,14521800,2472900,14530300,2677400
20,13,6000,157100,10978500,2141800,10984500,2298900
20,14,6600,135300,10035400,2572200,10042000,2707500
20,15,6500,95400,11923900,3540100,11930400,3635500
20,16,6800,103600,9243100,1502700,9249900,1606300
20,17,5600,61800,11024300,2865400,11029900,2927200
20,18,6300,66400,14311900,2725200,14318200,2791600
20,19,5500,120700,10940400,2966300,10945900,3087000
20,20,6200,65400,9866700,2640900,9872900,2706300
20,21,6700,65800,10838400,1834300,10845100,1900100
20,22,6300,65800,9065900,3145800,9072200,3211600
20,23,8400,66500,11637400,1315700,11645800,1382200
20,24,7000,65500,14404300,4404600,14411300,4470100
20,25,8000,83300,10167300,2396000,10175300,2479300
20,26,6600,66100,10232100,2562400,10238700,2628500
20,27,6600,63100,11589600,1843800,11596200,1906900
20,28,6500,64900,9948800,2204400,9955300,2269300
20,29,5900,64800,7239200,1044000,7245100,1108800
20,30,10800,88700,9233900,2655200,9244700,2743900
20,31,6300,411400,9433600,2105800,9439900,2517200
20,32,7100,80000,7527900,2520400,7535000,2600400
20,33,7800,66100,6109300,1673300,6117100,1739400
20,34,6500,139700,6592700,1536300,6599200,1676000
20,35,50300,71400,5400800,1072300,5451100,1143700
20,36,6500,60500,6333600,1194500,6340100,1255000
20,37,7700,65100,6970100,1813600,6977800,1878700
20,38,7300,157900,6224400,2617500,6231700,2775400
20,39,9800,101200,7313200,1192000,7323000,1293200
20,40,6300,285400,5805800,1785900,5812100,2071300
20,41,6800,106100,5400000,2248000,5406800,2354100
20,42,5600,62200,5444700,1086300,5450300,1148500
20,43,7100,66300,7677200,1185100,7684300,1251400
20,44,11100,98800,7390800,1262700,7401900,1361500
20,45,17200,65800,9198600,2551800,9215800,2617600
20,46,7500,69500,5853700,2406400,5861200,2475900
20,47,10700,214400,5292200,548800,5302900,763200
20,48,6600,64500,5684800,1213200,5691400,1277700
20,49,7800,177000,5230300,1555700,5238100,1732700
20,50,6300,171500,5364000,1197600,5370300,1369100
20,51,6000,62900,4880400,519800,4886400,582700
20,52,6600,64700,7137600,1076400,7144200,1141100
20,53,7700,66800,5382400,1052000,5390100,1118800
20,54,6300,63200,5210100,1549600,5216400,1612800
20,55,7400,69300,6019400,1224100,6026800,1293400
20,56,6000,114900,5390300,1614800,5396300,1729700
20,57,6300,64800,5115700,1014300,5122000,1079100
20,58,7600,114400,6409900,1461900,6417500,1576300
20,59,7300,65400,10343200,1495500,10350500,1560900
20,60,7400,69100,9982800,2115400,9990200,2184500
20,61,7900,70000,9370900,1452200,9378800,1522200
20,62,8300,57300,5579000,1015300,5587300,1072600
20,63,6700,45600,4284300,1443300,4291000,1488900
20,64,6500,47400,6051300,1943900,6057800,1991300
20,65,6800,44900,4667700,749400,4674500,794300
20,66,5800,44900,5443800,695500,5449600,740400
20,67,5200,152900,5481000,2812400,5486200,2965300
20,68,6000,106600,5731500,1122100,5737500,1228700
20,69,5800,110400,5564100,1035800,5569900,1146200
